Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Country.of.Origin
8.17,8.25,8.17,8,7.83,8.17,10,10,1
7.75,7.92,7.83,8.08,8.08,8.17,10,10,0
8,8,8,8.17,7.83,8,10,10,0
8.17,7.92,7.83,8,7.58,7.83,10,10,0
7.58,8.08,7.92,7.83,8,7.92,10,10,0
8.17,7.83,7.58,8.08,8,7.75,10,10,0
7.83,8,7.75,7.75,7.83,7.83,10,10,0
8,7.92,7.75,7.92,7.75,7.83,10,10,0
7.83,8,7.83,7.75,7.67,7.83,10,10,1
7.92,8.17,7.75,8.08,7.42,7.83,10,10,1
7.92,7.92,7.67,7.83,7.92,7.83,10,10,0
7.92,7.83,7.75,7.83,7.75,8,10,10,0
7.75,7.92,7.83,7.75,7.75,8,10,10,0
7.75,8,7.75,7.83,7.5,7.92,10,10,1
7.75,7.83,7.75,7.83,7.75,7.83,10,10,0
7.83,7.58,7.67,7.92,7.92,7.83,10,10,1
7.83,7.67,7.58,7.92,7.67,7.83,10,10,0
7.92,7.83,7.58,8,7.83,7.67,10,10,0
7.67,7.67,7.58,7.75,7.58,8.5,10,10,0
7.75,7.75,7.83,7.75,7.58,8,10,10,0
7.67,7.83,7.83,8,7.58,7.92,10,10,0
7.42,7.67,7.75,7.75,8.08,7.83,10,10,0
8.08,7.67,7.83,7.83,7.67,7.67,10,10,0
8,7.92,7.42,8.08,7.5,7.67,10,10,1
7.92,7.83,7.75,7.75,7.75,7.83,10,10,1
7.92,7.83,7.75,7.67,7.92,7.67,10,10,0
7.92,7.75,7.67,7.92,7.67,7.75,10,10,0
7.75,7.92,7.75,7.67,7.83,7.67,10,10,1
7.58,7.75,7.5,7.83,7.67,8.5,10,10,0
7.67,7.67,7.75,7.83,7.75,7.83,10,10,0
7.75,7.67,8,7.67,8.08,7.83,10,10,0
7.75,7.58,7.33,7.83,7.58,8.08,10,10,0
8,7.75,7.75,7.83,7.5,7.67,10,10,1
7.83,7.58,7.75,7.58,7.67,8,10,10,0
7.67,7.67,7.75,7.75,7.67,7.92,10,10,0
7.83,7.67,7.75,7.58,7.92,7.75,10,10,0
7.83,7.75,7.83,7.58,7.67,7.75,10,10,0
7.42,7.67,7.83,7.75,7.92,7.83,10,10,0
7.58,7.5,7.75,7.83,7.92,7.83,10,10,0
7.83,7.92,7.67,7.83,7.5,7.75,10,10,1
7.83,7.83,7.75,7.67,7.83,7.58,10,10,1
7.83,7.92,7.67,7.75,7.5,7.75,10,10,1
7.83,7.75,7.58,7.67,7.75,7.83,10,10,0
8,7.5,7.5,7.67,8,7.83,10,10,0
7.67,7.5,7.67,7.42,7.83,8.58,10,10,0
7.75,7.75,7.75,7.75,7.83,7.75,10,10,0
7.83,7.5,7.42,7.5,7.83,8.5,10,10,0
7.92,7.75,7.67,7.75,7.67,7.67,10,10,0
7.67,7.75,7.67,7.75,7.67,7.75,10,10,1
7.67,7.67,7.83,7.58,7.58,7.83,10,10,0
7.67,7.75,7.67,7.67,7.67,7.75,10,10,0
7.58,7.42,7.75,7.92,7.75,7.92,10,10,0
7.67,7.67,7.5,7.5,7.67,7.67,10,10,0
7.67,7.83,7.67,7.75,7.67,7.75,10,10,0
7.83,7.83,7.58,7.92,7.42,7.5,10,10,1
7.75,7.67,7.5,7.75,7.83,7.75,10,10,0
7.75,7.58,7.5,7.83,7.75,7.92,10,10,0
7.92,7.67,7.5,7.83,7.58,7.67,10,10,0
7.83,7.75,7.58,7.58,7.75,7.75,10,10,0
7.75,7.58,7.67,7.83,7.83,7.67,10,10,0
7.67,7.83,7.67,7.75,7.67,7.83,10,10,0
7.67,7.75,7.58,7.67,7.75,7.83,10,10,1
7.5,7.67,7.58,7.83,7.75,7.75,10,10,1
7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,1
7.92,7.58,7.5,7.83,7.58,7.67,10,10,0
7.83,7.67,7.5,7.75,7.75,7.75,10,10,0
7.67,7.58,7.58,7.83,7.58,7.67,10,10,0
7.67,8,7.67,7.42,7.67,7.5,10,10,1
7.67,7.58,7.5,7.75,7.75,7.75,10,10,1
7.83,7.83,7.58,7.58,7.58,7.58,10,10,0
7.92,7.75,7.5,7.67,7.75,7.5,10,10,0
7.75,7.67,7.5,7.67,7.58,7.83,10,10,0
7.67,7.67,7.67,7.92,7.5,7.67,10,10,0
7.67,7.42,7.42,7.42,8,8.33,10,10,0
7.58,7.67,7.75,7.67,7.67,7.67,10,10,0
7.75,7.67,7.75,7.58,7.42,8,10,10,0
7.83,7.58,7.58,7.5,7.75,7.67,10,10,1
7.83,7.83,7.58,7.33,7.42,7.67,10,10,0
7.75,7.67,7.25,7.25,7.58,8.5,10,10,0
7.5,7.75,7.5,7.75,7.67,7.67,10,10,0
7.83,7.75,7.67,7.58,7.58,7.67,10,10,0
7.67,7.67,7.67,7.67,7.33,7.75,10,10,0
7.75,7.75,7.58,7.83,7.17,7.75,10,10,0
7.67,7.5,7.5,7.33,7.83,8.25,10,10,1
7.75,7.75,7.58,7.58,7.67,7.58,10,10,0
7.67,7.75,7.58,7.67,7.75,7.58,10,10,0
7.75,7.75,7.58,7.58,7.5,7.67,10,10,1
7.67,7.58,7.67,7.67,7.67,7.67,10,10,0
7.67,7.58,7.67,7.58,7.67,7.75,10,10,0
7.75,7.58,7.5,7.58,7.75,7.83,10,10,0
7.67,7.67,7.58,7.67,7.75,7.58,10,10,0
7.83,7.67,7.58,7.58,7.67,7.58,10,10,1
7.67,7.58,7.58,7.58,7.67,7.75,10,10,0
7.75,7.58,7.58,7.75,7.75,7.5,10,10,0
7.75,7.58,7.58,7.5,7.75,7.75,10,10,0
7.58,7.58,7.58,7.58,7.75,7.67,10,10,0
7.67,7.42,7.67,7.83,7.58,7.67,10,10,0
8,7.58,7.25,7.58,7.92,7.58,10,10,0
7.75,7.58,7.33,7.5,7.83,7.83,10,10,0
7.58,7.75,7.42,7.67,7.75,7.67,10,10,0
7.58,7.67,7.58,7.75,7.58,7.75,10,10,0
7.83,7.58,7.25,7.5,7.5,7.42,10,10,1
7.67,7.75,7.67,7.75,7.58,7.5,10,10,1
7.75,7.67,7.67,7.75,7.33,7.5,10,10,1
7.67,7.58,7.58,7.67,7.67,7.67,10,10,0
7.5,7.58,7.58,7.5,7.75,7.83,10,10,0
7.67,7.67,7.5,7.67,7.67,7.58,10,10,0
7.58,7.67,7.58,7.67,7.58,7.67,10,10,0
7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,0
7.5,7.75,7.58,7.5,7.67,7.75,10,10,0
7.58,7.58,7.58,7.67,7.75,7.67,10,10,0
7.25,7.88,7.38,7.63,7.5,8.75,9,10,1
7.75,7.5,7.75,7.58,7.58,7.58,10,10,0
7.67,7.58,7.58,7.42,7.67,7.75,10,10,0
7.83,7.58,7.58,7.58,7.5,7.58,10,10,0
7.75,7.75,7.5,7.67,7.5,7.58,10,10,1
7.67,7.75,7.42,7.83,7.83,7.42,10,10,0
7.67,7.67,7.58,7.67,7.5,7.58,10,10,1
7.67,7.67,7.5,7.67,7.92,7.42,10,10,0
7.5,7.67,7.67,7.58,7.67,7.58,10,10,0
7.67,7.83,7.42,7.83,7.33,7.5,10,10,1
7.58,7.67,7.67,7.17,7.75,7.83,10,10,0
7.83,7.75,7.5,7.58,7.58,7.58,10,10,1
7.58,7.58,7.5,7.58,7.58,7.75,10,10,0
7.83,7.5,7.67,7.33,7.67,7.67,10,10,0
7.58,7.75,7.5,7.5,7.58,7.58,10,10,1
7.75,7.58,7.58,7.58,7.5,7.58,10,10,1
7.75,7.75,7.42,7.92,7.33,7.5,10,10,1
7.67,7.58,7.58,7.42,7.83,7.58,10,10,0
7.67,7.67,7.5,7.5,7.58,7.67,10,10,0
7.92,7.75,7.25,7.42,7.83,7.58,10,10,0
8,7.67,7.67,7.25,7.67,7.5,10,10,0
7.92,7.75,7.5,7.42,7.42,7.67,10,10,0
7.58,7.5,7.5,7.67,7.5,7.67,10,10,0
7.58,7.75,7.5,7.58,7.58,7.58,10,10,0
7.75,7.58,7.58,7.58,7.5,7.42,10,10,1
7.75,7.67,7.58,7.5,7.42,7.58,10,10,1
7.58,7.75,7.42,7.67,7.5,7.58,10,10,1
7.67,7.5,7.5,7.5,7.58,8.17,10,10,0
7.75,7.5,7.42,7.75,7.58,7.58,10,10,1
7.58,7.67,7.5,7.58,7.67,7.67,10,10,0
7.5,7.75,7.58,7.58,7.67,7.5,10,10,1
7.58,7.67,7.33,7.67,7.75,7.58,10,10,0
7.75,7.5,7.5,7.42,8,7.75,10,10,0
7.75,7.67,7.42,7.75,7.5,7.5,10,10,1
7.33,7.33,7.33,7.58,7.25,8.08,10,10,0
7.83,7.75,7.33,7.25,7.42,7.92,10,10,0
7.67,7.67,7.33,7.67,7.5,7.58,10,10,0
7.75,7.42,7.33,7.5,7.58,7.17,10,10,0
7.83,7.5,7.58,7.33,7.5,7.67,10,10,0
7.33,7.67,7.75,7.42,7.75,7.58,10,10,0
7.58,7.75,7.42,7.67,7.58,7.42,10,10,0
7.5,7.5,7.42,7.58,7.75,7.58,10,10,0
7.67,7.58,7.42,7.5,7.67,7.58,10,10,1
7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,1
7.5,7.67,7.5,7.5,7.58,7.58,10,10,1
7.67,7.58,7.5,7.5,7.75,7.5,10,10,0
7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,0
7.67,7.58,7.58,7.58,7.67,7.42,10,10,0
7.67,7.67,7.58,7.5,7.67,7.42,10,10,0
7.33,7.67,7.58,7.33,7.58,7.92,10,10,0
7.5,7.58,7.67,7.67,7.58,7.58,10,10,0
7.58,7.67,7.5,7.33,7.67,7.58,10,10,0
7.83,7.67,7.25,7.58,7.5,7.5,10,10,1
7.75,7.67,7.42,7.42,7.75,7.5,10,10,1
7.58,7.5,7.75,7.33,7.58,7.58,10,10,0
7.75,7.5,7.25,7.5,7.75,7.5,10,10,0
7.83,7.67,7.42,7.42,7.5,7.58,10,10,0
7.58,7.58,7.33,7.25,7.58,7.75,10,10,1
8,7.92,7.67,7.17,7.67,7.42,9.33,10,1
7.5,7.75,7.33,7.75,7.08,7.83,10,10,0
7.83,7.67,7.5,7.58,7.5,7.67,10,10,0
7.5,7.42,7.58,7.5,7.58,7.58,10,10,0
7.83,7.5,7.5,7.42,7.5,7.5,10,10,0
7.58,7.67,7.5,7.58,7.5,7.5,10,10,1
7.67,7.58,7.42,7.75,7.42,7.42,10,10,1
7.58,7.58,7.5,7.42,7.67,7.58,10,10,1
7.5,7.58,7.58,7.75,7.33,7.5,10,10,0
7.67,7.42,7.42,7.58,7.33,7.67,10,10,0
7.58,7.33,7.17,7.33,7.25,8.58,10,10,0
7.58,7.58,7.5,7.5,7.5,7.5,10,10,1
7.58,7.58,7.33,7.75,7.25,7.58,10,10,1
8.08,8.17,8,8,7.83,7.92,6.67,10,1
7.5,7.58,7.42,7.67,7.5,7.58,10,10,0
7.67,7.58,7.58,7.58,7.5,7.42,10,10,0
7.5,7.67,7.42,7.75,7.42,7.17,10,10,1
7.75,7.5,7.33,7.58,7.33,7.75,10,10,0
7.67,7.58,7.42,7.5,7.42,7.5,10,10,1
7.75,7.58,7.67,7.25,7.58,7.42,10,10,0
7.58,7.58,7.42,7.58,7.42,7.5,10,10,1
7.5,7.58,7.58,7.58,7.42,7.42,10,10,1
7.33,7.58,7.42,7.42,7.67,7.67,10,10,0
7.75,7.58,7.25,7.75,7.67,7.58,10,10,1
8.08,7.67,7.67,7.33,7.33,7.17,10,10,0
7.5,7.42,7.33,7.33,7.67,7.83,10,10,0
7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,1
7.75,7.25,7.33,7.42,7.5,7.83,10,10,0
7.75,7.5,7.75,7.25,7.33,7.58,10,10,0
7.58,7.5,7.42,7.58,7.67,7.42,10,10,0
7.5,7.58,7.5,7.5,7.42,7.5,10,10,1
7.67,7.58,7.58,7.75,7.67,6.83,10,10,1
7.33,7.42,7.58,7.42,7.67,7.5,10,10,0
7.42,7.58,7.5,7.67,7.25,7.5,10,10,1
7.5,7.5,7.42,7.42,7.58,7.58,10,10,0
7.5,7.58,7.5,7.5,7.42,7.42,10,10,1
7.67,7.5,7.33,7.67,7.5,7.33,10,10,1
7.92,7.5,7.33,7.58,7.25,7.42,10,10,1
7.67,7.5,7.33,7.5,7.25,7.67,10,10,0
5.08,7.75,7.83,7.75,7.83,8.08,10,10,0
7.42,7.5,7.42,7.58,7.42,7.5,10,10,1
7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,1
7.67,7.42,7.33,7.5,7.58,7.5,10,10,0
7.5,7.42,7.42,7.67,7.42,7.58,10,10,1
7.42,7.58,7.5,7.42,7.58,7.5,10,10,1
7.42,7.58,7.33,7.58,7.5,7.5,10,10,1
7.75,7.33,7.25,7.58,7.58,7.33,10,10,1
7.5,7.58,7.33,7.5,7.5,7.5,10,10,1
7.58,7.58,7.17,7.5,7.5,7.5,10,10,1
7.58,7.33,7.33,7.58,7.5,7.5,10,10,1
7.67,7.58,7.33,7.42,7.58,7.33,10,10,1
7.83,7.5,7.42,7.67,7.17,7.33,10,10,1
7.67,7.33,7.25,7.42,7.5,7.67,10,10,0
7.33,7.58,7.17,7.58,7.42,7.58,10,10,0
7.58,7.25,7.42,7.25,7.58,7.83,10,10,0
7.33,7.58,7.42,7.5,7.5,7.5,10,10,1
7.42,7.33,7.5,7.17,7.08,8.33,10,10,0
7.5,7.42,7.5,7.5,7.5,7.58,10,10,0
7.67,7.5,7.42,7.5,7.42,7.42,10,10,1
7.58,7.67,7.58,7.33,7,7.58,10,10,1
7.67,7.58,7.5,7.58,7.5,7.5,10,10,1
8,7.75,7.33,7.33,7.08,7.67,9.33,10,1
7.83,7.58,7.33,7.25,7.58,7.42,10,10,0
7.58,7.58,7.42,7.42,7.42,7.42,10,10,1
7.58,7.58,7.5,7.17,7.42,7.42,10,10,1
7.5,7.58,7.42,7.67,7.33,7.42,10,10,1
7.67,7.58,7.33,7.5,7.42,7.42,10,10,1
7.33,7.58,7.42,7.67,7.33,7.5,10,10,1
7.42,7.5,7.42,7.58,7.42,7.5,10,10,1
7.5,7.42,7.67,7.33,7.58,7.33,10,10,0
7.67,7.33,7.33,7.33,7.5,7.5,10,10,0
7.17,7.25,7.58,7.25,7.58,7.67,10,10,0
7.42,7.33,7.17,7.42,7.33,8.17,10,10,1
7.5,7.5,7.33,7.42,7.5,7.42,10,10,1
7.33,7.25,7.25,7.58,7.75,7.5,10,10,0
7.5,7.67,7,7.5,7.33,7.5,10,10,1
7.5,7.58,7.25,7.5,7.5,7.33,10,10,1
7,7.67,7.5,7.5,7.42,7.5,10,10,1
7.58,7.67,7.42,7.17,7.17,7.75,10,10,0
7.75,7.58,7.42,7.67,7.83,7.58,9.33,10,0
7.5,7.42,7.42,7.42,7.67,7.42,10,10,0
7.42,7.58,7.5,7.33,7.42,7.42,10,10,1
7.5,7.42,7.42,7.5,7.25,7.5,10,10,1
7.67,7.5,7.25,7.58,7.42,7.33,10,10,1
7.58,7.42,7.25,7.75,7.33,7.42,10,10,1
7.67,7.42,7.67,7.33,7.25,7.58,10,10,0
7.33,7.33,7.58,7.5,7.5,7.58,10,10,0
7.67,7.33,7.25,7.5,7.42,7.42,10,10,1
7.33,7,7.08,7.42,7.5,7.67,10,10,0
7.58,7.5,7.25,7.58,7.5,7.25,10,10,1
7.5,7.5,7.25,7.25,7.5,7.5,10,10,1
7.5,7.42,7.25,7.5,7.33,7.33,10,10,1
7.33,7.58,7.17,7.58,7.42,7.33,10,10,1
7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,1
7.67,7.33,7.33,7.58,7.33,7.33,10,10,0
7.58,7.5,7.33,7.5,7.17,7.33,10,10,1
7.42,7.42,7.25,7.5,7.33,7.42,10,10,1
7.5,7.5,7,7.42,7.5,7.58,10,10,0
7.83,7.33,7.25,7.58,7.25,7.33,10,10,1
7.33,7.33,7.25,7.5,7.5,7.5,10,10,1
7.58,7.5,7.17,7.58,7.33,7.33,10,10,0
7.5,7.5,7.33,7.42,7.25,7.25,10,10,1
7.42,7.5,7.17,7.67,7.33,7.42,10,10,1
7.42,7.5,7.33,7.58,7.33,7.33,10,10,1
7.33,7.42,7.33,7.67,7.42,7.25,10,10,1
7.5,7.42,7.25,7.33,7.67,7.25,10,10,1
7.33,7.42,7.33,7.33,7.5,7.67,10,10,0
7.42,7.58,6.92,7.08,7.25,8,10,10,0
7.75,7.75,7.75,7.67,5.25,7.83,10,10,0
7.42,7.42,7.67,8,7.58,7.5,9.33,10,1
7.5,7.42,7.08,7.58,7.33,7.33,10,10,1
7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,1
7.67,7.25,7.17,7.75,7.5,7.25,10,10,1
7.5,7.42,7.33,7.42,7.42,7.42,10,10,1
7.58,7.42,7.25,7.58,7.25,7.17,10,10,1
7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,1
7.67,7.5,7.42,7.5,6.75,7.42,10,10,1
7.33,7.5,7.25,7.5,7.5,7.17,10,10,1
7.67,7.58,7.42,7.58,7.58,7.42,10,8.67,1
7.33,7.33,7.17,7.42,7.5,7.5,10,10,1
7.58,7.42,7.25,7.42,7.33,7.33,10,10,1
7.42,7.25,7.17,7.42,7.17,8,10,10,1
7.33,7.5,7.33,7.33,7.33,7.42,10,10,1
7.42,7.42,7.33,7.17,7.25,7.42,10,10,1
7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,1
7.42,7.42,7.17,7.42,7.42,7.33,10,10,0
7.58,7.33,7.08,7.33,7.5,7.33,10,10,1
7.67,7.33,7.25,7.17,7.25,7.42,10,10,1
7.42,7.33,7.25,7.17,7.25,7.42,10,10,1
7.42,7.42,7.25,7.25,7.5,7.33,10,10,1
7.5,7.42,7.25,7.17,7.17,7.75,10,10,0
7.75,7.33,7.42,7,7.33,7.25,10,10,0
7.5,7.33,7.33,7.17,7.33,7.42,10,10,0
7.67,7.42,7,7.42,7.58,7.08,10,10,1
7.58,7.42,7.25,7.33,7.25,7.25,10,10,1
7.33,7.25,7.17,7.42,7.58,7.33,10,10,1
7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,1
7.75,7.58,7.08,7.25,7.08,7.25,10,10,1
7.42,7.25,7.08,7.75,7.42,7.17,10,10,1
7.25,7.42,7.33,7.33,7.17,7.33,10,10,1
7.33,7.25,7.33,7.42,7.25,7.42,10,10,1
7.33,7.33,7.25,7.42,7.25,7.25,10,10,1
7.42,7.33,7.25,7.42,7.17,7.25,10,10,1
7.67,7.5,7.42,5.25,7.67,7.75,10,10,0
7.08,7.33,7.33,7.33,7.42,7.25,10,10,1
7.58,7.67,7.5,7.67,7.58,7.5,8,10,1
7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,1
7.58,7.33,7.08,7.5,7.17,7.25,10,10,1
7.17,7.08,7.25,7.42,7.25,7.33,10,10,1
7.33,7.25,7.33,7.33,7.25,7.17,10,10,1
7.5,7.17,7.33,7.25,7.17,7.17,10,10,1
7.33,7.33,7,6.83,7.33,7.67,10,10,0
7.58,7.33,7.42,7.25,7.5,7.5,9.33,10,1
7.25,7.17,7.17,7.25,7.17,7.42,10,10,1
7.67,7.5,7.42,7.67,7.5,7.75,10,6.67,0
7.17,7.25,7.08,7.42,7.08,7.42,10,10,0
7.08,7.25,7,7.5,7.08,7.33,10,10,0
7.25,7.25,7.08,7.33,7.25,7.17,10,10,1
6.92,7.17,7.08,7.5,7.33,7.17,10,10,1
7.42,7.08,7.08,7.33,7.25,7.17,10,10,1
7.25,7.08,7.08,7.33,7.33,7.17,10,10,1
7.25,7.17,7,7.33,7.33,7,10,10,1
7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,0
7.58,7.33,7.17,7.25,6.75,7,10,10,1
7.33,7.08,6.92,7.42,7.25,7.08,10,10,1
7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,1
7.33,7.33,7.17,7.08,7.25,7,10,10,1
7.33,7.17,7.25,7.08,7.08,7.08,10,10,1
7.25,7.08,7,7.17,7.33,7.17,10,10,1
7.58,7.75,7.42,7.5,7.5,7.5,8.67,10,1
7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,1
7.08,7.33,7,7.33,7.08,7,10,10,1
7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,0
7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,1
7.17,7.17,6.92,7.25,7.33,7.08,10,10,1
7.5,7.17,7,7.17,7.25,7.08,10,10,1
7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,1
7.33,7.25,7,7.42,7.17,7.17,9.33,10,1
7.17,7.33,7.08,7.58,7.33,7.08,10,10,1
7.17,7.08,7,7.25,7.5,7,10,10,1
7.58,7.08,7,7,7.5,6.92,10,10,1
7.58,7.08,6.92,7.58,7.5,6.92,10,10,1
7.25,7.08,7,7.17,7.17,7.08,10,10,1
7.25,7.17,7.17,7.08,7.17,7,10,10,1
7.33,7.25,7,7.08,7.08,7,10,10,1
7.25,6.83,6.92,7.08,7.25,7.08,10,10,1
7.42,7.25,6.83,7.58,7.17,6.58,10,10,1
7.33,7.17,7,6.75,7.08,7,10,10,1
6.92,7.17,7.17,7.17,7.08,7.08,10,10,1
7.08,7,6.92,7.33,7.25,7.08,10,10,1
7.25,6.92,6.92,7.33,7.25,7,10,10,1
7.25,7.17,7,6.75,7.17,7.33,10,10,0
7.83,7.5,7.42,7.42,7.67,7.5,10,10,0
7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,1
7.25,7.33,7,7.25,7.17,7.17,9.33,10,1
7,6.83,6.83,7.42,7.33,7.17,10,10,1
7.42,7.25,6.75,7.25,7.42,7.25,9.33,10,0
7,7,6.83,7.33,7.42,6.92,10,10,1
7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,1
7,7,6.92,7.17,7.17,7.08,10,10,1
7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,1
7.17,6.92,6.92,7.08,7.17,7,10,10,1
6.75,6.75,6.83,7.25,7.58,7.08,10,10,1
7.33,7,6.92,7.25,7.33,7.08,9.33,10,1
7.25,7.08,6.75,7.33,7.42,7,9.33,10,1
7.17,7.25,7.25,7.17,7.25,7.08,9.33,10,1
6.75,7.08,6.67,7.25,7.17,7.08,10,10,1
7.5,7.17,6.92,7.5,7.25,7,8.67,10,1
7.17,6.83,6.83,7.25,7.17,6.92,10,10,1
7.33,7,6.75,7.08,7.17,7.25,9.33,10,1
7.5,7,6.92,7.08,6.92,6.75,10,10,1
7.25,6.83,6.83,7,7.17,7,10,10,1
7.25,7.33,7.17,7.25,7.08,7,8.67,10,1
7.67,7.17,6.83,7.33,7.58,7.17,9.33,8.67,1
6.92,6.92,6.67,7.25,7.17,6.92,10,10,1
7,7,6.75,7.33,6.92,6.92,10,10,1
7.92,7.58,7.58,7.92,7.92,7.5,8,10,1
7.25,6.75,6.92,6.92,7.25,7.58,9.33,10,1
7.08,6.83,6.83,7,7,6.92,10,10,1
7.25,7.17,7,6.83,7.58,7.08,8.67,10,1
7.58,7.17,7,7.17,7.33,7,8,10,1
7.25,7.25,7,7.5,7.33,7.42,8,10,1
7.08,6.83,6.67,7.25,7.25,6.92,10,10,1
7.25,7.33,7,7,7.25,7.08,10,8,1
7.42,7.17,7,7.17,7.67,7.17,8.67,9.33,0
7.42,7.25,7,7,7.25,7.08,8,10,1
7.17,6.75,6.58,6.75,6.83,6.75,10,10,1
7.33,7,6.67,7,6.92,6.92,9.33,10,1
7.08,7,7,7.25,7.33,7.25,8.67,10,1
6.67,6.33,6.42,6.83,7,6.92,10,10,1
7.17,6.58,6.58,7,7.25,6.58,9.33,10,1
7.42,7,6.83,7.08,6.92,6.83,7.33,10,1
7.08,6.83,6.83,7.17,7.17,7.08,10,10,1
7.5,7.25,6.92,7,7.17,6.83,8,10,1
7.17,6.92,6.67,6.83,7.25,7.75,10,10,1
7.25,6.83,6.67,7.08,7.17,6.83,10,10,1
7.17,7.17,6.83,7.17,7.42,6.67,8.67,10,1
7,6.92,6.75,6.92,7.17,6.83,10,10,1
7.08,6.75,6.58,7,7,6.75,8.67,10,1
7.33,6.75,6.67,7.25,7.5,7,10,10,1
7.08,7,6.83,7.5,7.33,6.83,8,10,1
7,6.58,6.67,6.83,7.08,6.83,10,10,1
6.92,6.42,6.17,7.33,7.25,6.75,10,10,1
7.67,7,7.17,7.58,7.33,7.33,10,10,1
7.08,7.08,6.92,7.08,6.92,6.92,8,8,1
8,7.33,7.75,7.33,7.42,7.67,6.67,6.67,0
6.92,6.92,6.92,6.92,7.17,7,10,10,1
6.5,6.67,6.42,7.17,7.33,6.5,8,10,1
6.92,7,6.83,6.92,7.42,6.92,6,10,1
7.08,6.83,6.25,7.42,7.25,6.75,10,10,1
